Time,X,Y,Z
637530062170265640, -0.3099626, 42.63413, -8.120559
637530062170465540, -0.1657393, 43.54501, -8.03224
637530062170667810, -0.3624462, 42.73244, -7.537087
637530062170869720, -0.5189047, 43.09513, -7.350754
637530062171070710, -0.246566, 43.20755, -7.443269
637530062171272570, -0.7387599, 42.88438, -7.84171
637530062171475650, -0.02831383, 42.96723, -8.020592
637530062171676030, -0.1867902, 43.10506, -8.31959
637530062171876570, -0.2202406, 43.41849, -7.934099
637530062172077220, 2.841651E-05, 43.403, -8.026091
637530062172279340, 0.2910677, 42.69016, -7.520212
637530062172481510, 0.1968167, 42.94896, -8.307815
637530062172683120, -0.2913434, 43.07547, -7.735593
637530062172882110, 0.2249927, 42.86455, -7.915126
637530062173085850, 0.0377612, 42.79284, -7.625678
637530062173285260, 0.1019856, 42.9138, -8.114283
637530062173485380, -0.03803684, 42.97279, -7.630127
637530062173687800, 0.1253001, 42.83216, -7.526361
637530062173889340, 0.07582645, 43.22305, -8.021641
637530062174093010, 0.2061259, 43.16963, -8.115332
637530062174300740, -0.3409823, 42.94617, -7.832685
637530062174499980, 0.1137264, 43.13308, -8.019416
637530062174699770, -0.002402335, 43.4044, -7.928474
637530062174900810, 0.3623368, 43.55337, -8.116906
637530062175103540, 0.1253001, 42.83216, -7.526361
637530062175304560, -0.08264896, 43.36089, -8.320639
637530062175500760, -0.08792338, 43.5899, -7.542459
637530062175704320, 0.2843546, 42.98829, -8.208499
637530062175909030, -0.1420118, 43.23715, -8.027266
637530062176107420, 0.3029739, 43.42963, -7.823533
637530062176307410, 0.3481652, 43.33548, -8.114157
637530062176508580, -0.08994122, 43.36506, -8.02779
637530062176720510, 0.03104904, 43.09097, -8.313965
637530062176918730, 0.1819846, 43.70372, -7.537359
637530062177121060, -0.2771727, 43.29336, -7.738343
637530062177314620, 0.06367269, 43.23, -7.53356
637530062177517460, 0.1372062, 43.57164, -7.829682
637530062177716470, -0.2723112, 43.29058, -7.933575
637530062177916600, 0.177536, 43.48027, -7.925074
637530062178122740, 0.1230346, 43.35375, -7.826933
637530062178321140, 0.1706566, 43.25821, -8.215173
637530062178523910, 0.3005431, 43.43102, -7.725917
637530062178723960, -0.2962049, 43.07825, -7.540361
637530062178925370, -0.2441352, 43.20617, -7.540885
637530062179127150, -0.1541656, 43.2441, -7.539186
637530062179331570, -0.1730315, 43.54918, -7.739392
637530062179525780, 0.3005431, 43.43102, -7.725917
637530062179723060, -0.08549263, 43.58852, -7.640076
637530062179928120, 0.4211195, 43.38315, -7.429143
637530062180158580, -0.06135134, 43.05442, -8.218049
637530062180340140, 0.1112957, 43.13447, -7.9218
637530062180536930, 0.03063518, 43.3172, -7.731018
637530062180739900, -0.02856146, 43.71365, -7.835832
637530062180940930, 0.03306593, 43.31581, -7.828633
637530062181140740, 0.05209808, 43.53091, -8.026615
637530062181343990, -0.1375632, 43.4606, -7.639551
637530062181543980, 0.2085566, 43.16824, -8.212948
637530062181748140, 0.1088649, 43.13586, -7.824183
637530062181947660, -0.05002436, 43.49993, -7.540235
637530062182149700, -0.3268117, 43.16405, -7.835434
637530062182350800, -0.06905745, 43.28482, -7.342253
637530062182552250, -0.1327017, 43.45782, -7.834783
637530062182753530, 0.07096495, 43.22583, -7.826408
